Region
Analamanga
Bongolava
Itasy
Vakinankaratra
Amoron’i Mania
Atsimo-Atsinana
Haute Matsiatra
Vatovavy-Fitovinany
Ihorombe
Alaotra Mangoro
Analanjirofo
Atsinanana
Betsiboka
Boeny
Melaky
Sofia
Androy
Anosy
Atsimo-Andrefana
Menabe
Diana
Sava
